Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
GO_BP,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),1.864488e-08,7.429266e-07,796.05,6,GHR; RPTOR; FLT1; SRC; SIRT1; FGFR1,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Resveratrol; SOMATROPIN,No
Reactome,Selective Autophagy R-HSA-9663891,2.999931e-08,1.619963e-06,1231.97,5,MAP1LC3B; PRKAA2; SRC; ULK1; ATG5,Dasatinib; Metformin; Spermidine,Yes
KEGG,Thermogenesis,4.187262e-08,6.242827e-07,453.74,7,RPTOR; PRKAA1; PRKAA2; RPS6KB1; PPARG; MTOR; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Rapamycin,No
GO_BP,Regulation Of Protein Kinase B Signaling (GO:0051896),4.593890e-08,1.762693e-06,644.65,6,SRC; RICTOR; SIRT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Resveratrol,No
GO_BP,Protein Modification Process (GO:0036211),4.772058e-08,1.765662e-06,231.69,10,BECN1; PRKAA1; STK11; PRKAA2; ABL1; ULK1; EPHB2; MTOR; FGFR1; ATG5,DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; Spermidine,No
KEGG,Insulin signaling pathway,4.799343e-08,6.559102e-07,638.04,6,RPTOR; PRKAA1; PRKAA2; RPS6KB1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
KEGG,Fluid shear stress and atherosclerosis,5.233039e-08,6.601680e-07,625.15,6,PRKAA1; PRKAA2; SRC; BCL2; PIK3R1; NFE2L2,BARDOXOLONE METHYL; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; VENETOCLAX,No
Reactome,Generic Transcription Pathway R-HSA-212436,5.919677e-08,2.797047e-06,176.99,12,RPTOR; IL6; PRKAA1; STK11; PRKAA2; SRC; ABL1; PPARG; RICTOR; SIRT1; MTOR; SIRT3,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB,No
Reactome,Mitophagy R-HSA-5205647,8.210551e-08,3.448431e-06,2086.05,4,MAP1LC3B; SRC; ULK1; ATG5,Dasatinib; Spermidine,No
GO_BP,TOR Signaling (GO:0031929),9.514354e-08,3.398921e-06,1984.42,4,RPTOR; RPS6KB1; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of TOR Signaling (GO:0032006),1.045858e-07,3.547359e-06,876.19,5,RPTOR; PRKAA1; PRKAA2; RICTOR; SIRT1,Metformin; Rapamycin; Resveratrol,No
GO_BP,Positive Regulation Of Adipose Tissue Development (GO:1904179),1.061468e-07,3.547359e-06,8906.19,3,PRKAA1; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE; Resveratrol,No
