Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
Reactome,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,6.862973e-06,1.080918e-04,144.16,7,FLT1; SRC; RICTOR; PIK3R1; MTOR; FGFR1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
KEGG,Axon guidance,6.997496e-06,3.957205e-05,265.47,5,SRC; ABL1; PIK3R1; EPHB2; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Kinase Activity (GO:0043549),7.652313e-06,1.238718e-04,445.02,4,FLT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Positive Regulation Of Amide Metabolic Process (GO:0034250),7.652313e-06,1.238718e-04,445.02,4,IL6; RPS6KB1; MTOR; SIRT3,DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol; SILTUXIMAB,No
GO_BP,Positive Regulation Of DNA-templated Transcription (GO:0045893),7.915198e-06,1.261561e-04,89.25,10,RPTOR; IL6; PRKAA1; NAMPT; ABL1; PPARG; PIK3R1; SIRT1; MTOR; NFE2L2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB,No
KEGG,Colorectal cancer,8.017254e-06,4.382766e-05,437.83,4,RPS6KB1; BCL2; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,No
GO_BP,Cellular Response To Peptide Hormone Stimulus (GO:0071375),9.189380e-06,1.442454e-04,417.40,4,RPS6KB1; SRC; PPARG; PIK3R1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; ROSIGLITAZONE; Rapamycin,No
KEGG,Kaposi sarcoma-associated herpesvirus infection,9.306034e-06,4.923192e-05,243.80,5,BECN1; IL6; SRC; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; SILTUXIMAB; Spermidine,No
Reactome,VEGFA-VEGFR2 Pathway R-HSA-4420097,1.094319e-05,1.618087e-04,392.56,4,SRC; RICTOR; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,Yes
GO_BP,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),1.094319e-05,1.692110e-04,392.56,4,SRC; RICTOR; FGFR1; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
Reactome,Immune System R-HSA-168256,1.112970e-05,1.618087e-04,71.03,12,GHR; BECN1; MGAM; IL6; SRC; GAA; BCL2; ABL1; RICTOR; PIK3R1; MTOR; ATG5,Acarbose; DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; SILTUXIMAB; SOMATROPIN; Spermidine; VENETOCLAX,No
KEGG,Focal adhesion,1.133022e-05,5.806739e-05,229.78,5,FLT1; SRC; BCL2; PIK3R1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; VENETOCLAX,No
GO_BP,Regulation Of MAPK Cascade (GO:0043408),1.217224e-05,1.844600e-04,224.86,5,IL6; FLT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SILTUXIMAB,No
Reactome,Transcriptional Regulation By TP53 R-HSA-3700989,1.222072e-05,1.710900e-04,159.46,6,RPTOR; PRKAA1; STK11; PRKAA2; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,Yes
GO_BP,Regulation Of Cell Population Proliferation (GO:0042127),1.234483e-05,1.844600e-04,104.17,8,IL6; STK11; NAMPT; BCL2; ULK1; SIRT1; FGFR1; IGF1R,MECASERMIN; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol; SILTUXIMAB; Spermidine; VENETOCLAX,No
GO_BP,Regulation Of Angiogenesis (GO:0045765),1.246351e-05,1.844600e-04,223.26,5,IL6; FLT1; PPARG; SIRT1; EPHA2,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,Yes
GO_BP,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),1.431175e-05,2.088306e-04,152.77,6,IL6; PRKAA1; PPARG; EPHB2; MTOR; NFE2L2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; SILTUXIMAB,No
GO_BP,Inositol Lipid-Mediated Signaling (GO:0048017),1.611782e-05,2.319175e-04,815.00,3,RPS6KB1; FGFR1; IGF1R,MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
GO_BP,Positive Regulation Of Kinase Activity (GO:0033674),1.703776e-05,2.407301e-04,335.65,4,FLT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Positive Regulation Of Protein Phosphorylation (GO:0001934),1.745419e-05,2.407301e-04,144.69,6,GHR; RPTOR; IL6; SRC; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB; SOMATROPIN,No
GO_BP,Cellular Response To Glucose Stimulus (GO:0071333),1.765974e-05,2.407301e-04,782.14,3,PRKAA1; PRKAA2; IGF1R,MECASERMIN; Metformin,No
GO_BP,Cellular Response To Hydrogen Peroxide (GO:0070301),1.765974e-05,2.407301e-04,782.14,3,IL6; SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol; SILTUXIMAB,No
GO_BP,Positive Regulation Of Cell Growth (GO:0030307),1.836888e-05,2.471449e-04,326.78,4,RPTOR; BCL2; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,No
KEGG,Nicotinate and nicotinamide metabolism,1.929581e-05,9.418526e-05,751.53,3,NAMPT; SIRT1; SIRT3,Resveratrol,No
KEGG,Human cytomegalovirus infection,1.952621e-05,9.418526e-05,194.69,5,IL6; RPS6KB1; SRC; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Regulation Of Pentose-Phosphate Shunt (GO:0043456),2.168904e-05,2.844285e-04,5105.23,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Lipid Droplet Disassembly (GO:1905691),2.168904e-05,2.844285e-04,5105.23,2,PRKAA1; PRKAA2,Metformin,No
GO_BP,Positive Regulation Of Phosphorylation (GO:0042327),2.215900e-05,2.869591e-04,187.26,5,FLT1; SIRT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol,No
GO_BP,Mitochondrion Disassembly (GO:0061726),2.286104e-05,2.917908e-04,696.20,3,BECN1; MAP1LC3B; ATG5,Spermidine,Yes
GO_BP,Positive Regulation Of Developmental Process (GO:0051094),2.309541e-05,2.917908e-04,184.88,5,PRKAA1; SRC; PPARG; SIRT1; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; Metformin; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Resveratrol,No
GO_BP,Regulation Of Cytoskeleton Organization (GO:0051493),2.446964e-05,3.017922e-04,294.93,4,PRKAA1; PRKAA2; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
GO_BP,Regulation Of MAP Kinase Activity (GO:0043405),2.446964e-05,3.017922e-04,294.93,4,GHR; FLT1; PPARG; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; SOMATROPIN,No
GO_BP,Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),2.479547e-05,3.022130e-04,671.14,3,PRKAA1; PRKAA2; NFE2L2,BARDOXOLONE METHYL; Metformin,No
KEGG,Chemical carcinogenesis,2.609072e-05,1.222537e-04,178.03,5,RPS6KB1; SRC; BCL2; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; VENETOCLAX,No
Reactome,RHOU GTPase Cycle R-HSA-9013420,2.683460e-05,3.622671e-04,647.60,3,SRC; PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Gene Expression (GO:0010468),2.703681e-05,3.227268e-04,76.01,9,IL6; PRKAA1; PRKAA2; ABL1; PPARG; EPHB2; SIRT1; MTOR; NFE2L2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB,No
GO_BP,Cellular Response To Oxidative Stress (GO:0034599),2.710158e-05,3.227268e-04,284.29,4,PRKAA1; PRKAA2; ABL1; NFE2L2,BARDOXOLONE METHYL; Dasatinib; Metformin,Yes
Reactome,Activated NTRK3 Signals Thru PI3K R-HSA-9603381,3.250334e-05,4.236642e-04,3684.50,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,Yes
GO_BP,Glucan Catabolic Process (GO:0009251),3.250334e-05,3.783535e-04,3684.50,2,MGAM; GAA,Acarbose,No
GO_BP,White Fat Cell Differentiation (GO:0050872),3.250334e-05,3.783535e-04,3684.50,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Ephrin Receptor Signaling Pathway (GO:0048013),3.609025e-05,4.154389e-04,566.32,3,SRC; EPHB2; EPHA2,Dasatinib,No
GO_BP,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),4.096590e-05,4.663810e-04,244.79,4,GHR; IL6; SRC; ABL1,Dasatinib; SILTUXIMAB; SOMATROPIN,No
GO_BP,Response To Glucose (GO:0009749),4.425819e-05,4.930267e-04,516.22,3,PRKAA1; PRKAA2; IGF1R,MECASERMIN; Metformin,No
GO_BP,Response To Hydrogen Peroxide (GO:0042542),4.425819e-05,4.930267e-04,516.22,3,IL6; SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol; SILTUXIMAB,No
GO_BP,Peptidyl-Lysine Deacetylation (GO:0034983),4.546236e-05,5.010532e-04,2851.75,2,SIRT1; SIRT3,Resveratrol,No
GO_BP,Insulin Receptor Signaling Pathway (GO:0008286),4.722800e-05,5.150338e-04,501.20,3,NAMPT; PIK3R1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; Resveratrol,No
GO_BP,Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),5.032562e-05,5.430973e-04,486.91,3,BECN1; SRC; BCL2,Dasatinib; Spermidine; VENETOCLAX,No
Reactome,EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,5.355353e-05,6.530076e-04,473.31,3,SRC; EPHB2; EPHA2,Dasatinib,No
Reactome,Signaling By FGFR1 R-HSA-5654736,5.355353e-05,6.530076e-04,473.31,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Autophagy Of Mitochondrion (GO:0000422),5.355353e-05,5.661374e-04,473.31,3,BECN1; MAP1LC3B; ATG5,Spermidine,Yes
GO_BP,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),5.355353e-05,5.661374e-04,473.31,3,BCL2; SIRT1; EPHA2,Dasatinib; Resveratrol; VENETOCLAX,Yes
KEGG,Spinocerebellar ataxia,5.942580e-05,2.707175e-04,213.58,4,BECN1; ULK1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Spermidine,No
GO_BP,Positive Regulation Of Transferase Activity (GO:0051347),5.942580e-05,6.151004e-04,213.58,4,FLT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,IRS-related Events Triggered By IGF1R R-HSA-2428928,6.041028e-05,6.916759e-04,447.98,3,PIK3R1; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377),6.041028e-05,6.151004e-04,447.98,3,PIK3R1; EPHB2; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078),6.041028e-05,6.151004e-04,447.98,3,PIK3R1; EPHB2; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680,6.056008e-05,6.916759e-04,2308.19,2,STK11; PRKAA2,Metformin,Yes
GO_BP,Anoikis (GO:0043276),6.056008e-05,6.151004e-04,2308.19,2,STK11; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
Reactome,IGF1R Signaling Cascade R-HSA-2428924,6.404407e-05,6.916759e-04,436.18,3,PIK3R1; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
Reactome,SARS-CoV-1 Infection R-HSA-9678108,6.404407e-05,6.916759e-04,436.18,3,BECN1; GANAB; MAP1LC3B,Acarbose; Spermidine,No
GO_BP,Positive Regulation Of B Cell Activation (GO:0050871),6.404407e-05,6.441714e-04,436.18,3,IL6; BCL2; EPHB2,Dasatinib; SILTUXIMAB; VENETOCLAX,No
Reactome,Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,6.781810e-05,7.120900e-04,424.90,3,PIK3R1; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
KEGG,Gastric cancer,6.972868e-05,3.090676e-04,201.32,4,RPS6KB1; BCL2; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,No
GO_BP,Positive Regulation Of Cell Population Proliferation (GO:0008284),6.975139e-05,6.948312e-04,97.78,6,IL6; NAMPT; BCL2; SIRT1; FGFR1; IGF1R,MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol; SILTUXIMAB; VENETOCLAX,No
GO_BP,Organelle Disassembly (GO:1903008),7.173482e-05,7.077835e-04,414.11,3,PRKAA1; PRKAA2; ULK1,Metformin; Spermidine,No
Reactome,GP1b-IX-V Activation Signaling R-HSA-430116,7.779049e-05,7.947245e-04,1927.34,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Lipid Localization (GO:1905953),7.779049e-05,7.531864e-04,1927.34,2,IL6; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; SILTUXIMAB,No
GO_BP,Positive Regulation Of Protein Acetylation (GO:1901985),7.779049e-05,7.531864e-04,1927.34,2,PRKAA1; PRKAA2,Metformin,No
KEGG,Cellular senescence,8.332969e-05,3.596334e-04,188.41,4,IL6; PIK3R1; SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol; SILTUXIMAB,Yes
GO_BP,Peptidyl-Serine Phosphorylation (GO:0018105),8.754694e-05,8.398021e-04,184.96,4,RPS6KB1; ULK1; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Spermidine,No
GO_BP,Positive Regulation Of MAPK Cascade (GO:0043410),8.979920e-05,8.535043e-04,120.16,5,GHR; IL6; FLT1; FGFR1; IGF1R,MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SILTUXIMAB; SOMATROPIN,No
KEGG,Hepatitis B,9.644488e-05,4.055631e-04,178.38,4,IL6; SRC; BCL2; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB; SILTUXIMAB; VENETOCLAX,No
Reactome,Activation Of AMPK Downstream Of NMDARs R-HSA-9619483,9.714759e-05,9.328247e-04,1646.74,2,PRKAA1; PRKAA2,Metformin,Yes
Reactome,Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,9.714759e-05,9.328247e-04,1646.74,2,SIRT1; SIRT3,Resveratrol,Yes
GO_BP,TORC1 Signaling (GO:0038202),9.714759e-05,8.906628e-04,1646.74,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Mitochondrial Depolarization (GO:0051900),9.714759e-05,8.906628e-04,1646.74,2,SRC; BCL2,Dasatinib; VENETOCLAX,Yes
GO_BP,Cellular Response To Leucine (GO:0071233),9.714759e-05,8.906628e-04,1646.74,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Response To Leucine (GO:0043201),9.714759e-05,8.906628e-04,1646.74,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
Reactome,Post NMDA Receptor Activation Events R-HSA-438064,1.033513e-04,9.328247e-04,350.08,3,PRKAA1; PRKAA2; SRC,Dasatinib; Metformin,No
Reactome,Regulation Of PTEN Gene Transcription R-HSA-8943724,1.033513e-04,9.328247e-04,350.08,3,RPTOR; PPARG; MTOR,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; ROSIGLITAZONE; Rapamycin,No
GO_BP,Negative Regulation Of Autophagy (GO:0010507),1.033513e-04,9.392280e-04,350.08,3,RPTOR; BCL2; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,Yes
Reactome,Axon Guidance R-HSA-422475,1.036472e-04,9.328247e-04,86.99,6,SRC; ABL1; PIK3R1; EPHB2; FGFR1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Peptidyl-Serine Modification (GO:0018209),1.059834e-04,9.547723e-04,172.16,4,RPS6KB1; ULK1; RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Spermidine,No
KEGG,Tight junction,1.135743e-04,4.656544e-04,167.73,4,PRKAA1; STK11; PRKAA2; SRC,Dasatinib; Metformin,No
GO_BP,Regulation Of Cellular Catabolic Process (GO:0031329),1.138065e-04,1.016409e-03,334.82,3,RPTOR; BECN1; ABL1,Dasatinib; Rapamycin; Spermidine,No
GO_BP,Regulation Of Phospholipase C Activity (GO:1900274),1.186254e-04,1.024132e-03,1432.05,2,FLT1; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Cellular Response To Growth Hormone Stimulus (GO:0071378),1.186254e-04,1.024132e-03,1432.05,2,GHR; PIK3R1,DACTOLISIB; GEDATOLISIB; SOMATROPIN,Yes
GO_BP,Cellular Response To Nitrogen Levels (GO:0043562),1.186254e-04,1.024132e-03,1432.05,2,BECN1; MAP1LC3B,Spermidine,No
GO_BP,Cellular Response To Nitrogen Starvation (GO:0006995),1.186254e-04,1.024132e-03,1432.05,2,BECN1; MAP1LC3B,Spermidine,No
Reactome,FOXO-mediated Transcription R-HSA-9614085,1.249282e-04,1.098206e-03,320.66,3,STK11; SIRT1; SIRT3,Metformin; Resveratrol,Yes
GO_BP,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),1.270928e-04,1.088166e-03,160.74,4,IL6; RPS6KB1; SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol; SILTUXIMAB,No
Reactome,Nervous System Development R-HSA-9675108,1.354521e-04,1.163656e-03,80.27,6,SRC; ABL1; PIK3R1; EPHB2; FGFR1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
KEGG,Acute myeloid leukemia,1.367353e-04,5.469412e-04,307.49,3,RPS6KB1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Negative Regulation Of Cellular Catabolic Process (GO:0031330),1.367353e-04,1.161129e-03,307.49,3,RPTOR; BCL2; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,No
Reactome,Translation Of Replicase And Assembly Of Replication Transcription Complex R-HSA-9679504,1.422179e-04,1.194630e-03,1262.92,2,BECN1; MAP1LC3B,Spermidine,No
GO_BP,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902166),1.422179e-04,1.197868e-03,1262.92,2,BCL2; SIRT1,Resveratrol; VENETOCLAX,Yes
KEGG,NOD-like receptor signaling pathway,1.479324e-04,5.776409e-04,151.72,4,IL6; NAMPT; BCL2; ATG5,Resveratrol; SILTUXIMAB; Spermidine; VENETOCLAX,No
GO_BP,Phosphate-Containing Compound Metabolic Process (GO:0006796),1.575807e-04,1.316562e-03,148.10,4,RPTOR; RICTOR; EPHB2; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
KEGG,Adherens junction,1.624792e-04,6.196882e-04,283.73,3,SRC; FGFR1; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Myeloid Leukocyte Differentiation (GO:0002573),1.624792e-04,1.346628e-03,283.73,3,PPARG; SIRT1; EPHA2,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; ROSIGLITAZONE; Resveratrol,No
GO_BP,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),1.642610e-04,1.348560e-03,145.76,4,PRKAA1; PRKAA2; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE; Resveratrol,No
GO_BP,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902165),1.679192e-04,1.348560e-03,1126.52,2,BCL2; SIRT1,Resveratrol; VENETOCLAX,Yes
GO_BP,Peptidyl-Tyrosine Autophosphorylation (GO:0038083),1.679192e-04,1.348560e-03,1126.52,2,ABL1; IGF1R,Dasatinib; MECASERMIN,No
GO_BP,Interleukin-6-Mediated Signaling Pathway (GO:0070102),1.679192e-04,1.348560e-03,1126.52,2,IL6; SRC,Dasatinib; SILTUXIMAB,No
KEGG,Melanoma,1.693722e-04,6.312965e-04,278.27,3,PIK3R1; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Response To Ionizing Radiation (GO:0010212),1.693722e-04,1.349766e-03,278.27,3,PRKAA1; STK11; SIRT1,Metformin; Resveratrol,No
Reactome,ESR-mediated Signaling R-HSA-8939211,1.711440e-04,1.406357e-03,143.48,4,SRC; BCL2; PIK3R1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; VENETOCLAX,No
GO_BP,Cellular Response To Reactive Oxygen Species (GO:0034614),1.764526e-04,1.395457e-03,272.99,3,IL6; SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol; SILTUXIMAB,No
Reactome,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,1.837225e-04,1.477598e-03,267.88,3,PRKAA1; PRKAA2; SRC,Dasatinib; Metformin,No
GO_BP,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),1.837225e-04,1.441944e-03,267.88,3,IL6; BCL2; EPHB2,Dasatinib; SILTUXIMAB; VENETOCLAX,No
KEGG,Transcriptional misregulation in cancer,1.855329e-04,6.761644e-04,139.09,4,IL6; FLT1; PPARG; IGF1R,BARDOXOLONE METHYL; BEZAFIBRATE; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; SILTUXIMAB,No
KEGG,Glioma,1.911843e-04,6.816136e-04,262.92,3,PIK3R1; MTOR; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; Rapamycin,No
GO_BP,Regulation Of Fat Cell Differentiation (GO:0045598),1.911843e-04,1.489225e-03,262.92,3,IL6; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,No
KEGG,Pancreatic cancer,1.988401e-04,6.928637e-04,258.12,3,RPS6KB1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,Alzheimer disease,2.027894e-04,6.928637e-04,91.60,5,BECN1; IL6; ULK1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB; Spermidine,No
Reactome,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,2.147427e-04,1.691099e-03,248.94,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Positive Regulation Of Protein Localization To Membrane (GO:1905477),2.229939e-04,1.718725e-03,244.56,3,PIK3R1; EPHB2; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Cellular Response To Heat (GO:1900034),2.256242e-04,1.718725e-03,920.72,2,SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol,No
GO_BP,Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945),2.256242e-04,1.718725e-03,920.72,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
